File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/10_9.json,58,21510,38354.23685,129868.9085,6295.518674,585
data/10_9.json,58,21260,37999.12826,128792.689,6247.892581,586
data/10_9.json,58,21760,38473.06538,130872.2801,6309.625902,584.5
data/10_9.json,62,21510,38767.27169,138940.2689,6363.314798,585
data/10_9.json,62,21260,38504.95737,136656.7414,6325.660084,585.5
data/10_9.json,62,21760,38849.68385,140602.5039,6365.941462,584
data/10_9.json,64,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,64,21260,38570.32261,138288.5006,6336.398397,585.5
data/10_9.json,64,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,64,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,48,24310,35353.76729,122075.4728,5803.017358,585
data/10_9.json,54,22260,37891.66741,125856.9287,6208.960091,584
data/10_9.json,54,21860,37419.08403,123408.4624,6142.021368,585
data/10_9.json,54,22010,37677.61815,123524.7795,6179.171664,584.5
data/10_9.json,54,21760,37402.05812,122130.0251,6144.473914,585.5
data/10_9.json,60,21510,38716.23037,134600.4656,6354.936804,585
data/10_9.json,60,21260,38339.47206,132490.8914,6298.473875,585.5
data/10_9.json,60,21760,38662.28389,135245.3468,6335.233948,584
data/10_7.json,66,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,66,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,66,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,56,28360,37532.6211,165772.7896,6155.391985,584.5
data/10_7.json,56,27810,37517.68279,160287.6908,6158.205508,585
data/10_7.json,56,27310,37192.70197,160107.3673,6110.080528,585.5
data/10_7.json,68,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,68,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,68,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,50,30410,35473.12139,158905.5087,5832.561485,586
data/10_7.json,50,32460,36131.01026,169643.3672,5920.457348,584
data/10_7.json,50,31410,35692.12203,164202.8583,5858.555383,585
data/10_7.json,78,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,78,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,78,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,74,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,74,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,74,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,76,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,76,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,76,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,72,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,72,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,72,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,46,44610,34320.90463,214865.1013,5638.296762,585.5
data/10_7.json,46,48710,34597.30007,233400.7285,5673.996042,584.5
data/10_7.json,46,46660,34319.83447,222648.3205,5633.306162,585
data/10_7.json,70,26810,37999.35087,180737.5886,6237.267189,585
data/10_7.json,70,27310,38076.41609,183263.4816,6244.574973,584.5
data/10_7.json,70,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,52,29360,36196.19443,159313.7167,5941.29454,585
data/10_7.json,52,28360,36138.7894,154249.311,5942.01195,586
data/10_7.json,52,30410,36474.37549,165430.8538,5976.721461,584
data/10_7.json,58,28360,37867.46636,172107.6947,6204.994487,584
data/10_7.json,58,27310,37598.44436,163525.9151,6171.461828,585
data/10_7.json,62,27310,37936.87378,174377.127,6227.01211,585
data/10_7.json,62,26310,37474.51206,168905.4815,6161.634138,586
data/10_7.json,64,26810,37998.07892,175912.7174,6237.058409,585
data/10_7.json,64,27310,38061.26413,179800.2419,6242.090034,584.5
data/10_7.json,64,26310,37521.79046,176216.9712,6169.407747,586
data/10_7.json,48,36510,35262.96312,183493.2726,5783.165529,584.5
data/10_7.json,48,35460,35170.30323,177935.9883,5772.903307,585
data/10_7.json,48,34460,34978.60368,172106.7379,5746.344684,585.5
data/10_7.json,54,28360,37000.52615,159889.4234,6073.318686,585
data/10_7.json,60,27310,37736.45103,169167.469,6194.114436,585
data/9_9.json,66,32960,44136.112,223927.3271,7244.563839,585
data/9_9.json,66,33460,44290.88147,230852.6206,7257.540623,584
data/9_9.json,66,32460,43995.41023,223418.7375,7227.641047,585.5
data/9_9.json,56,34960,42136.69428,204345.1745,6916.376586,585
data/9_9.json,56,36510,42698.43676,213772.1979,6996.60131,584
data/9_9.json,56,35460,42333.96299,207546.3051,6942.817443,584.5
data/9_9.json,56,34460,42125.88996,200107.5841,6920.513067,585.5
data/9_9.json,68,32460,44109.54633,226765.8703,7240.203312,585
data/9_9.json,50,44610,40659.67279,232240.3997,6679.640409,585.5
data/9_9.json,50,48710,40758.81818,253382.1293,6684.491927,584.5
data/9_9.json,50,46660,40734.0684,242911.8814,6686.147591,585
data/9_9.json,78,32460,44180.91681,230499.6747,7251.918164,585
data/9_9.json,74,32460,44180.91681,230499.6747,7251.918164,585
data/9_9.json,76,32460,44180.91681,230499.6747,7251.918164,585
data/9_9.json,72,32460,44180.91681,230499.6747,7251.918164,585
data/9_9.json,70,32460,44174.52049,226631.7504,7250.868262,585
data/9_9.json,52,40560,41352.39846,220258.8959,6787.641162,585
data/9_9.json,58,33460,42757.23666,202642.3377,7024.23178,585.5
data/9_9.json,58,33960,42790.66221,204994.246,7023.719807,585
data/9_9.json,58,34460,42742.02883,208125.247,7009.740699,584.5
data/9_9.json,62,32960,43517.48026,212529.6832,7143.02075,585
data/9_9.json,62,33460,43570.94395,216917.8164,7145.683709,584.5
data/9_9.json,62,32460,43336.18474,209518.0536,7119.342359,585.5
data/9_9.json,64,32960,43947.14376,220565.3276,7213.546324,585
data/9_9.json,64,33460,43950.85957,221315.7662,7207.990296,584.5
data/9_9.json,64,32460,43633.53865,216509.8767,7168.192166,585.5
data/9_9.json,48,62910,39654.09831,315647.287,6520.006064,586
data/9_9.json,48,64410,39792.35571,319702.8606,6542.738622,586
data/9_9.json,48,64810,39832.33151,323492.1653,6549.311522,586
data/9_9.json,48,64910,39830.9468,324892.7773,6549.083845,586
data/9_9.json,48,64960,39831.95692,325338.1021,6549.249931,586
data/9_9.json,48,64660,39818.94813,321902.3245,6547.111,586
data/9_9.json,48,63910,39740.7738,316049.1272,6534.25742,586
data/9_9.json,48,64860,39830.17667,324453.6638,6548.957218,586
data/9_9.json,54,37510,42112.53245,212089.1462,6906.502586,584.5
data/9_9.json,54,38510,42207.32369,217630.7098,6916.127114,584
data/9_9.json,54,36510,41614.65298,206256.6112,6836.526184,585.5
data/9_9.json,54,37010,41750.82691,209152.2719,6853.039771,585
data/9_9.json,60,33460,43254.70689,208552.0918,7099.888758,585
data/9_9.json,60,32460,42785.50238,203379.166,7034.877775,586
data/9_9.json,60,34460,43430.21354,214670.5023,7116.510861,584
data/13_7.json,66,13910,30535.97519,84912.07945,5012.218151,585
data/13_7.json,56,13910,30363.11328,80693.93731,4983.844352,585
