dists,speed
3044.000244,59.4073595
3048,58.6505382
3052,57.8973564
3056,57.1535107
3060.000244,56.4224622
3064.000244,55.7048525
3068,54.9995277
3072,54.3171631
3076,53.6686273
3080.000244,53.0603167
3084,52.4915917
3088,51.9630508
3092,51.4952339
3095,51.2062706
3099,50.8947019
3103.000244,50.6250779
3107,50.4415964
3111,50.441391
3115,50.441391
3119.000244,50.6835899
3123.000244,51.2328033
3127,51.6281891
3131,52.3435326
3135,53.2195244
3139.000244,53.9790306
3143.000244,54.4127846
3147,54.8287113
3151,54.6310523
3156.000244,54.337549
3160,54.1191471
3164,53.9294874
3168,53.7786369
3172.000244,53.7786369
3176,53.7786369
3180,53.9778366
3184,54.8005295
3188,55.2460452
3192.000244,54.941287
3196,54.4772164
3200,53.8887401
3203,53.3865339
3207,52.6389332
3210,52.0655053
3214,51.4395225
3217,50.954509
3221.000244,50.1485447
3224,49.5297818
3228.000244,48.6873812
3231.000244,48.0863956
3234,47.5249303
3237,46.9993027
3241.000244,46.3444396
3244.000244,45.9038886
3247,45.5189969
3251.000244,45.0556417
3254.000244,44.7277884
3257,44.4362084
3261.000244,44.0606947
3264.000244,43.7490531
3267.000244,43.39566
3271.000244,42.8185746
3274.000244,42.331607
3277.000244,41.7756804
3280,41.1455405
3284.000244,40.2044169
3287.000244,39.440346
3290.000244,38.6196046
3293,37.7445997
3296,36.8209606
3299,35.8564807
3301,35.1940195
3304.000244,34.1661171
3307.000244,33.1010861
3309,32.3713794
3312,31.2460128
3314.000244,30.47471
3317.000244,29.282165
3319,28.4630372
3321,27.6251343
3323.000244,26.7682839
3325,25.8914247
3327.000244,24.9909378
3329,24.0698058
3331,23.1318937
3333.000244,22.1808363
3334,21.7115807
3336,20.7672503
3338,19.8271546
3339,19.3937816
3341,18.5783841
3342,18.2110408
3344,17.5122328
3345,17.2380691
3347,16.7524841
3348,16.5639793
3349,16.3792323
3350.000244,16.2837537
3352,16.0937321
3353.000244,16.0326658
3354,15.9389789
3356.000244,15.9384336
3357,15.8388695
3358,15.8386812
3360.000244,15.6134903
3361,15.4977169
3362,15.4977169
3364,15.351018
3365,15.351018
3366.000244,15.351018
3368,15.479311
3369.000244,15.6794214
3370.000244,15.8384752
3372,16.1147709
3373.000244,16.467577
3374,16.8270378
3376.000244,17.1630554
3377,17.4917126
3378,17.9206467
3380,18.4853458
3381,19.1955318
3383.000244,20.0348225
3385,20.747364
3386.000244,21.8680782
3388,23.4233284
3390,25.2830353
3392.000244,26.4682057
3394,25.8998622
3396.000244,25.2764128
3398,25.2760925
3400,25.2760925
3402.000244,27.8745552
3404,27.2442067
3406.000244,26.5742302
3408,25.95734
3410,25.4081983
3413,24.6267633
3415.000244,24.152503
3417,23.752294
3419.000244,23.4418403
3421,23.2156122
3423,23.0085974
3426,22.7307243
3428,22.7307243
3430,22.7307243
3432.000244,22.8724575
3434,23.0918159
3436,23.2798386
3439.000244,23.5720806
3441,23.9198608
3443,24.2649174
3445.000244,24.5877552
3447,24.9196129
3450,25.347311
3452.000244,25.8913269
3454,26.5305099
3457,27.2094173
3459,27.8335323
3462.000244,28.6992836
3464,29.7586632
3466,30.8622303
3469,31.8452187
3471.000244,32.9347725
3474,34.192749
3477,35.4682083
3479,36.6135406
3482,37.591404
3485.000244,38.5715675
3488.000244,39.7022629
3490,40.966877
3493,42.2699738
3496,43.4502754
3499,43.1564325
3502,42.7241443
3505,42.2051423
3509,41.4397543
3512,40.831773
3515,40.1982455
3518.000244,39.5442401
3521.000244,38.8997015
3524.000244,38.2823454
3528,37.4879135
3531.000244,36.9180682
3534.000244,36.4005946
3537.000244,35.9505526
3540.000244,35.560205
3542,35.3304922
3545,35.055437
3548,34.859673
3551,34.7399257
3554.000244,34.684672
3557.000244,34.6072715
3560.000244,34.5542647
3563,34.4619221
3566,34.3429002
3569,34.2283429
3572,34.137474
3575,34.0469246
3578,34.0469246
3581,34.0469246
3584,34.2997704
3587.000244,34.8121948
3590.000244,35.146431
3593.000244,35.9281654
3597,37.2284126
3600.000244,38.951046
3603.000244,40.8372383
3606.000244,43.0101852
3609,46.1387711
3613.000244,50.1069832
3616.000244,54.243084
3619.000244,57.5698662
3623.000244,61.9880935
3626.000244,61.6488472
3630,61.0932571
3633.000244,60.6460434
3637,60.0317184
3640,59.5580802
3644,58.9122739
3648,58.2593563
3651,57.7673921
3655,57.1048137
3659.000244,56.4333736
3662.000244,55.9260681
3666.000244,55.240852
3670,54.5423092
3674,53.8251728
3678,53.0882967
3681,52.5231711
3685.000244,51.7413982
3689.000244,50.9244756
3693,50.070415
3696,49.4070007
3700,48.4874201
3704,47.5451679
3707,46.832913
3711,46.00873
3714,45.3709906
3717,44.6819078
3721.000244,43.7328101
3724,43.0621221
3728.000244,42.2271822
3731.000244,41.6515391
3734,41.158373
3737,40.764256
3741.000244,40.3351833
3744.000244,40.0426355
3747,39.8518944
3750,39.8518944
3754.000244,39.8518944
3757,40.008007
3760,40.2807579
3763,40.5850334
3767.000244,40.9372253
3770,41.1792336
3773,41.1792336
3777.000244,41.1172717
3780,41.0118915
3783,40.9142037
3787.000244,40.8007876
3790.000244,40.8005943
3794.000244,40.7165833
3797.000244,40.7165833
3800.000244,40.7165833
3804.000244,40.8498306
3807.000244,41.0972443
3811,41.4472809
3814.000244,41.7551956
3818,42.2709885
3821,43.0342789
3824,43.9991608
3828,45.040966
3831,46.0160294
3835,47.3693085
3839,48.9134521
3842,50.256485
3846.000244,51.0808182
3849,52.2411232
3853.000244,53.037571
3857,53.2927399
3861,53.2927399
3865,53.2927399
3868,53.2968102
3872,53.3299255
3876.000244,53.8720322
3880,54.9042587
3884,56.3107033
3888,57.5217361
3891,59.5926323
3895,62.483345
3899.000244,65.7805862
3903,68.8618546
3907,72.9773178
3911,78.050148
3915.000244,83.3327484
3920,86.6623276
3924,86.4373752
3928,86.132838
3932.000244,85.7818521
3936,85.4032208
3941,84.906992
3945.000244,84.4976078
3949,84.0757209
3953,83.6424504
3958.000244,83.0865327
3962.000244,82.6324857
3967,82.0539692
3971.000244,81.583369
3975.000244,81.1054497
3980,80.4974983
3984,80.0028995
3989,79.3722457
3993.000244,78.8586527
3998,78.2024716
4001.999756,77.6648224
4007,76.9743466
4010.999756,76.4076297
4015.999756,75.6831668
4021,74.9394016
4024.999512,74.3292355
4029.999756,73.5482271
4034.999756,72.7510401
4039,72.1008515
4043.999756,71.2735199
4048.999756,70.4322389
4053,69.7503059
4057.999512,68.8883539
4062.999756,68.0170533
4067.999756,67.134215
4073,66.2368628
4076.999756,65.5099155
4081.999756,64.5895526
4087,63.6560397
4092,62.7088238
4095.999756,61.9405749
4101,60.9663239
4106,59.9759009
4109.999512,59.1715988
4115,58.1502389
4120,57.1134668
4124,56.2700922
4128.999512,55.1964904
4133,54.3214622
4136.999512,53.4322172
